Model,Model_Family,Scenario,Scenario_Category,Region,Variable,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2110,2130,2150
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Capital Cost|Electricity|Wind|Onshore,,,,1421.6222,8592.709200000001,7868.7442,7176.8274,6847.2708,6569.657999999999,6462.0496,6363.669,6257.6326,6160.9414,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Efficiency|Electricity|Biomass|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,135.0,135.0,135.0,135.0,135.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Efficiency|Electricity|Biomass|w/o CCS,,,,45.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Efficiency|Electricity|Coal|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,111.4461,106.6853,102.4464,98.6518,100.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Efficiency|Electricity|Coal|w/o CCS,,,,110.7228,112.2142,113.7282,115.2655,116.8266,111.4461,106.6853,102.4464,0.0,0.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Efficiency|Electricity|Gas|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,108.7631,106.7517,104.9203,103.2528,104.3478,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Efficiency|Electricity|Gas|w/o CCS,,,,102.9875,104.6993,106.4528,108.2492,110.08950000000002,108.7631,106.7517,104.9203,103.2528,69.5652,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Emissions|CH4,,,,51.8199,58.4971,64.9477,72.6144,51.6236,45.9498,45.0792,44.2625,43.8774,42.9147,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Emissions|CO2,,,,3408.1037,4185.5724,4665.3852,5254.9668,4208.0157,3367.4037,2766.7927,2071.5101,1602.8118,863.1767,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5MAF,Emissions|N2O,,,,1362.5703,1560.7649,1767.0895,2009.206,1141.9179,1003.5825,1089.9226,1241.8885,1488.2356,1815.5764,,,,,,,,,,,,,
