Model,Scenario,Ssp_family
AIM/CGE 2.2,EN_INDCi2030_1800,2
AIM/CGE 2.2,EN_INDCi2030_1800f,2
AIM/CGE 2.2,EN_INDCi2030_800f,2
AIM/CGE 2.2,EN_INDCi2030_900f,2
AIM/CGE 2.2,EN_INDCi2100,2
AIM/CGE 2.2,EN_NPi2020_1000,2
AIM/CGE 2.2,EN_NPi2020_1000f,2
AIM/CGE 2.2,EN_NPi2020_1200,2
AIM/CGE 2.2,EN_NPi2020_1200f,2
AIM/CGE 2.2,EN_NPi2020_1400,2
AIM/CGE 2.2,EN_NPi2020_1400f,2
AIM/CGE 2.2,EN_NPi2020_1600,2
AIM/CGE 2.2,EN_NPi2020_1600f,2
AIM/CGE 2.2,EN_NPi2020_1800,2
AIM/CGE 2.2,EN_NPi2020_1800f,2
AIM/CGE 2.2,EN_NPi2020_300f,2
AIM/CGE 2.2,EN_NPi2020_400f,2
AIM/CGE 2.2,EN_NPi2020_500f,2
AIM/CGE 2.2,EN_NPi2020_600,2
AIM/CGE 2.2,EN_NPi2020_600f,2
AIM/CGE 2.2,EN_NPi2020_700,2
AIM/CGE 2.2,EN_NPi2020_700f,2
AIM/CGE 2.2,EN_NPi2020_800,2
AIM/CGE 2.2,EN_NPi2020_800f,2
AIM/CGE 2.2,EN_NPi2020_900,2
AIM/CGE 2.2,EN_NPi2020_900f,2
AIM/CGE 2.2,EN_NPi2100,2
AIM/Hub-Global 2.0,1.5C,2
AIM/Hub-Global 2.0,2.5C,2
AIM/Hub-Global 2.0,2C,2
AIM/Hub-Global 2.0,450ppmCancunP,2
AIM/Hub-Global 2.0,450ppmRCP,2
AIM/Hub-Global 2.0,450ppmeINDC,2
AIM/Hub-Global 2.0,Baseline,2
AIM/Hub-Global 2.0,INDCSamePrice,2
AIM/Hub-Global 2.0,WB2C,2
BET EMF33,EMF33_1.5C_cost100,2
BET EMF33,EMF33_1.5C_full,2
BET EMF33,EMF33_1.5C_nofuel,2
BET EMF33,EMF33_Baseline,2
BET EMF33,EMF33_Med2C_cost100,2
BET EMF33,EMF33_Med2C_full,2
BET EMF33,EMF33_Med2C_limbio,2
BET EMF33,EMF33_Med2C_nofuel,2
BET EMF33,EMF33_WB2C_cost100,2
BET EMF33,EMF33_WB2C_full,2
BET EMF33,EMF33_WB2C_limbio,2
BET EMF33,EMF33_WB2C_nofuel,2
BET EMF33,EMF33_tax_hi_full,2
BET EMF33,EMF33_tax_hi_none,2
BET EMF33,EMF33_tax_lo_full,2
BET EMF33,EMF33_tax_lo_none,2
C-ROADS-5.005,Ratchet-1.5-allCDR,2
C-ROADS-5.005,Ratchet-1.5-limCDR,2
C-ROADS-5.005,Ratchet-1.5-limCDR-noOS,2
C-ROADS-5.005,Ratchet-1.5-noCDR,2
C-ROADS-5.005,Ratchet-1.5-noCDR-noOS,2
C-ROADS-5.005,Reference,2
C3IAM 1.0,SSP1_5.0,1
C3IAM 1.0,SSP1_BAU,1
C3IAM 1.0,SSP1_NDC,1
C3IAM 1.0,SSP2_5.0,2
C3IAM 1.0,SSP2_BAU,2
C3IAM 1.0,SSP2_NDC,2
C3IAM 1.0,SSP3_5.5,3
C3IAM 1.0,SSP3_BAU,3
C3IAM 1.0,SSP3_NDC,3
C3IAM 2.0,2C-hybrid,2
C3IAM 2.0,2C-normal,2
C3IAM 2.0,2C-with BECCS,2
C3IAM 2.0,2C-with CCS,2
C3IAM 2.0,SSP2 BAU,2
COFFEE 1.1,CO_2Deg2020,2
COFFEE 1.1,CO_2Deg2030,2
COFFEE 1.1,CO_BAU,2
COFFEE 1.1,CO_Bridge,2
COFFEE 1.1,CO_CurPol,2
COFFEE 1.1,CO_GPP,2
COFFEE 1.1,CO_NDCplus,2
COFFEE 1.1,EN_INDCi2030_1000,2
COFFEE 1.1,EN_INDCi2030_1000_COV_NDCp,2
COFFEE 1.1,EN_INDCi2030_1000_NDCp,2
COFFEE 1.1,EN_INDCi2030_1000f,2
COFFEE 1.1,EN_INDCi2030_1000f_COV_NDCp,2
COFFEE 1.1,EN_INDCi2030_1000f_NDCp,2
COFFEE 1.1,EN_INDCi2030_1200,2
COFFEE 1.1,EN_INDCi2030_1200f,2
COFFEE 1.1,EN_INDCi2030_1400,2
COFFEE 1.1,EN_INDCi2030_1400f,2
COFFEE 1.1,EN_INDCi2030_1600,2
COFFEE 1.1,EN_INDCi2030_1600f,2
COFFEE 1.1,EN_INDCi2030_1800,2
COFFEE 1.1,EN_INDCi2030_1800f,2
COFFEE 1.1,EN_INDCi2030_2000,2
COFFEE 1.1,EN_INDCi2030_2000f,2
COFFEE 1.1,EN_INDCi2030_2500,2
COFFEE 1.1,EN_INDCi2030_2500f,2
COFFEE 1.1,EN_INDCi2030_400f,2
COFFEE 1.1,EN_INDCi2030_500,2
COFFEE 1.1,EN_INDCi2030_500f,2
COFFEE 1.1,EN_INDCi2030_600,2
COFFEE 1.1,EN_INDCi2030_600_COV_NDCp,2
COFFEE 1.1,EN_INDCi2030_600_NDCp,2
COFFEE 1.1,EN_INDCi2030_600f,2
COFFEE 1.1,EN_INDCi2030_600f_COV_NDCp,2
COFFEE 1.1,EN_INDCi2030_600f_NDCp,2
COFFEE 1.1,EN_INDCi2030_700,2
COFFEE 1.1,EN_INDCi2030_700f,2
COFFEE 1.1,EN_INDCi2030_800,2
COFFEE 1.1,EN_INDCi2030_800f,2
COFFEE 1.1,EN_INDCi2030_900,2
COFFEE 1.1,EN_INDCi2030_900f,2
COFFEE 1.1,EN_INDCi2100,2
COFFEE 1.1,EN_INDCi2100_COV_NDCp,2
COFFEE 1.1,EN_INDCi2100_NDCp,2
COFFEE 1.1,EN_NPi2020_1000,2
COFFEE 1.1,EN_NPi2020_1000_COV,2
COFFEE 1.1,EN_NPi2020_1000f,2
COFFEE 1.1,EN_NPi2020_1000f_COV,2
COFFEE 1.1,EN_NPi2020_1200,2
COFFEE 1.1,EN_NPi2020_1200f,2
COFFEE 1.1,EN_NPi2020_1400,2
COFFEE 1.1,EN_NPi2020_1400f,2
COFFEE 1.1,EN_NPi2020_1600,2
COFFEE 1.1,EN_NPi2020_1600f,2
COFFEE 1.1,EN_NPi2020_1800,2
COFFEE 1.1,EN_NPi2020_1800f,2
COFFEE 1.1,EN_NPi2020_2000,2
COFFEE 1.1,EN_NPi2020_2000f,2
COFFEE 1.1,EN_NPi2020_2500,2
COFFEE 1.1,EN_NPi2020_2500f,2
COFFEE 1.1,EN_NPi2020_400,2
COFFEE 1.1,EN_NPi2020_400_lowBECCS,2
COFFEE 1.1,EN_NPi2020_400f,2
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,2
COFFEE 1.1,EN_NPi2020_500,2
COFFEE 1.1,EN_NPi2020_500f,2
COFFEE 1.1,EN_NPi2020_600,2
COFFEE 1.1,EN_NPi2020_600_COV,2
COFFEE 1.1,EN_NPi2020_600f,2
COFFEE 1.1,EN_NPi2020_600f_COV,2
COFFEE 1.1,EN_NPi2020_700,2
COFFEE 1.1,EN_NPi2020_700f,2
COFFEE 1.1,EN_NPi2020_800,2
COFFEE 1.1,EN_NPi2020_800f,2
COFFEE 1.1,EN_NPi2020_900,2
COFFEE 1.1,EN_NPi2020_900f,2
COFFEE 1.1,EN_NPi2100,2
COFFEE 1.1,EN_NPi2100_COV,2
COPPE-COFFEE 1.0,CD-LINKS_INDC2030i_1600,2
COPPE-COFFEE 1.0,CD-LINKS_INDCi,2
COPPE-COFFEE 1.0,CD-LINKS_NDC2030i_1000,2
COPPE-COFFEE 1.0,CD-LINKS_NPi,2
COPPE-COFFEE 1.0,CD-LINKS_NPi2020_1000,2
COPPE-COFFEE 1.0,CD-LINKS_NPi2020_1600,2
COPPE-COFFEE 1.0,CD-LINKS_NPi2020_400,2
DART 1.0,BAU_IEO,2
DART 1.0,BAU_WEO,2
DART 1.0,IEO_NDC2C_ASIA,2
DART 1.0,IEO_NDC2C_EUR_CHN,2
DART 1.0,IEO_NDC2C_GLOBAL,2
DART 1.0,IEO_NDC2C_PARTIAL,2
DART 1.0,IEO_NDC2C_REF,2
DART 1.0,IEO_NDC_ASIA,2
DART 1.0,IEO_NDC_EUR_CHN,2
DART 1.0,IEO_NDC_GLOBAL,2
DART 1.0,IEO_NDC_PARTIAL,2
DART 1.0,IEO_NDC_REF,2
DART 1.0,IEO_NDCplus_ASIA,2
DART 1.0,IEO_NDCplus_EUR_CHN,2
DART 1.0,IEO_NDCplus_GLOBAL,2
DART 1.0,IEO_NDCplus_PARTIAL,2
DART 1.0,IEO_NDCplus_REF,2
DART 1.0,WEO_NDC2C_ASIA,2
DART 1.0,WEO_NDC2C_EUR_CHN,2
DART 1.0,WEO_NDC2C_GLOBAL,2
DART 1.0,WEO_NDC2C_PARTIAL,2
DART 1.0,WEO_NDC2C_REF,2
DART 1.0,WEO_NDC_ASIA,2
DART 1.0,WEO_NDC_EUR_CHN,2
DART 1.0,WEO_NDC_GLOBAL,2
DART 1.0,WEO_NDC_PARTIAL,2
DART 1.0,WEO_NDC_REF,2
DART 1.0,WEO_NDCplus_ASIA,2
DART 1.0,WEO_NDCplus_EUR_CHN,2
DART 1.0,WEO_NDCplus_GLOBAL,2
DART 1.0,WEO_NDCplus_PARTIAL,2
DART 1.0,WEO_NDCplus_REF,2
DNE21+ V.14C,CD-LINKS_INDC2030i_1600,2
DNE21+ V.14C,CD-LINKS_INDCi,2
DNE21+ V.14C,CD-LINKS_NDC2030i_1000,2
DNE21+ V.14C,CD-LINKS_NPi,2
DNE21+ V.14C,CD-LINKS_NPi2020_1000,2
DNE21+ V.14C,CD-LINKS_NPi2020_1600,2
DNE21+ V.14C,CD-LINKS_NPi2020_400,2
DNE21+ V.14C,CD-LINKS_NoPolicy,2
DNE21+ V.14E1,EMF30_BCOC-EndU,2
DNE21+ V.14E1,EMF30_Baseline,2
DNE21+ V.14E1,EMF30_CH4-Only,2
DNE21+ V.14E1,EMF30_ClimPolicy,2
DNE21+ V.14E1,EMF30_ClimPolicy+SLCF,2
DNE21+ V.14E1,EMF30_D_BCOC-Red,2
DNE21+ V.14E1,EMF30_D_CH4-ClimPolicy,2
DNE21+ V.14E1,EMF30_D_CO2-Only,2
DNE21+ V.14E1,EMF30_D_Frozen-EF-EndU,2
DNE21+ V.14E1,EMF30_SLCF,2
DNE21+ V.14E1,EMF30_Slower-Action,2
DNE21+ V.14E1,EMF30_Slower-Action+SLCF,2
DNE21+ V.14E1,EMF30_Slower-to-faster,2
DNE21+ V.14E1,EMF30_Slower-to-faster+SLCF,2
DNE21+ V.14E1,EMF30_Slower-to-faster+SLCF+HFC,2
DNE21+ V.14E2,EMF33_1.5C_cost100,2
DNE21+ V.14E2,EMF33_1.5C_full,2
DNE21+ V.14E2,EMF33_1.5C_limbio,2
DNE21+ V.14E2,EMF33_1.5C_nofuel,2
DNE21+ V.14E2,EMF33_Baseline,2
DNE21+ V.14E2,EMF33_Med2C_cost100,2
DNE21+ V.14E2,EMF33_Med2C_full,2
DNE21+ V.14E2,EMF33_Med2C_limbio,2
DNE21+ V.14E2,EMF33_Med2C_nobeccs,2
DNE21+ V.14E2,EMF33_Med2C_nofuel,2
DNE21+ V.14E2,EMF33_Med2C_none,2
DNE21+ V.14E2,EMF33_WB2C_cost100,2
DNE21+ V.14E2,EMF33_WB2C_full,2
DNE21+ V.14E2,EMF33_WB2C_limbio,2
DNE21+ V.14E2,EMF33_WB2C_nobeccs,2
DNE21+ V.14E2,EMF33_WB2C_nofuel,2
DNE21+ V.14E2,EMF33_WB2C_none,2
DNE21+ V.14E2,EMF33_tax_hi_full,2
DNE21+ V.14E2,EMF33_tax_hi_none,2
DNE21+ V.14E2,EMF33_tax_lo_full,2
DNE21+ V.14E2,EMF33_tax_lo_none,2
DNE21+ V.ADVANCE,ADVANCE_WP2_IND-450-FullTech,2
DNE21+ V.ADVANCE,ADVANCE_WP2_IND-Base-FullTech,2
DNE21+ V.ADVANCE,ADVANCE_WP2_TRA-450-FullTech,
DNE21+ V.ADVANCE,ADVANCE_WP2_TRA-Base-FullTech,
