No.,Variable(All),Level,Category_template,Model type,Unit,Definition,Type,Basis for Classification
309,Emissions|CH4|Energy|Demand|Transportation,5,Emissions,Energy system,Mt CH4/yr,"CH4 emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
310,Emissions|CH4|Energy|Supply,4,Emissions,Energy system,Mt CH4/yr,"CH4 emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
314,Emissions|CH4|Other,3,Emissions,Energy system,Mt CH4/yr,CH4 emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
316,Emissions|CO,2,Emissions,Energy system,Mt CO/yr,total CO emissions,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
317,Emissions|CO|AFOLU,3,Emissions,Energy system,Mt CO/yr,Land Use based carbon monoxide emissions,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
320,Emissions|CO|Energy,3,Emissions,Energy system,Mt CO/yr,"carbon monoxide emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
321,Emissions|CO|Energy|Demand|Industry,5,Emissions,Energy system,Mt CO/yr,carbon monoxide emissions from Combustion in industry (IPCC 1A2) and industrial processes (IPCC 2C1-2C5),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
322,Emissions|CO|Energy|Demand|Residential and Commercial,5,Emissions,Energy system,Mt CO/yr,"carbon monoxide emissions from Combustion in Residential and Commercial/Institutional Sectors (IPCC 1A4A, 1A4B)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
325,Emissions|CO|Energy|Demand|Transportation,5,Emissions,Energy system,Mt CO/yr,carbon monoxide emissions from Combustion in Transportation Sector (IPCC category 1A3),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
328,Emissions|CO|Energy|Supply,4,Emissions,Energy system,Mt CO/yr,"carbon monoxide emissions from Extraction and Distribution of Fossil Fuels (including fugitive emissions, IPCC category 1B); Electricity production and distribution, district heating and other energy conversion (e.g. refineries, synfuel production)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
332,Emissions|CO2,2,Emissions,Energy system,Mt CO2/yr,total net-CO2 emissions from all sources,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
333,Emissions|CO2|AFOLU,3,Emissions,Energy system,Mt CO2/yr,"CO2 emissions from agriculture, forestry and other land use (IPCC category 3)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
337,Emissions|CO2|Energy,3,Emissions,Energy system,Mt CO2/yr,"CO2 emissions from energy use on supply and demand side (IPCC category 1A, 1B)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
338,Emissions|CO2|Energy and Industrial Processes,3,Emissions,Energy system,Mt CO2/yr,"CO2 emissions from energy use on supply and demand side (IPCC category 1A, 1B) and from industrial processes (IPCC categories 2A, B, C, E)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
339,Emissions|CO2|Energy|Demand,4,Emissions,Energy system,Mt CO2/yr,"CO2 emissions from fuel combustion in industry (IPCC category 1A2), residential, commercial, institutional sectors and agriculture, forestry, fishing (AFOFI) (IPCC category 1A4a, 1A4b, 1A4c), and transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
340,Emissions|CO2|Energy|Demand|AFOFI,5,Emissions,Energy system,Mt CO2/yr,"CO2 emissions from fuel combustion in agriculture, forestry, fishing (AFOFI) (IPCC category 1A4c)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
342,Emissions|CO2|Energy|Demand|Industry,5,Emissions,Energy system,Mt CO2/yr,CO2 emissions from fuel combustion in industry (IPCC category 1A2),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
353,Emissions|CO2|Energy|Demand|Other Sector,5,Emissions,Energy system,Mt CO2/yr,CO2 emissions from fuel combustion in other energy supply sectors (please provide a definition of other sources in this category in the 'comments' tab),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
355,Emissions|CO2|Energy|Demand|Residential and Commercial,5,Emissions,Energy system,Mt CO2/yr,"CO2 emissions from fuel combustion in residential, commercial, institutional sectors (IPCC category 1A4a, 1A4b)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
356,Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial,6,Emissions,Energy system,Mt CO2/yr,CO2 emissions from fuel combustion in commercial and institutional sectors (IPCC category 1A4a),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
365,Emissions|CO2|Energy|Demand|Residential and Commercial|Residential,6,Emissions,Energy system,Mt CO2/yr,CO2 emissions from fuel combustion in residential (IPCC category 1A4b),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
370,Emissions|CO2|Energy|Demand|Transportation,5,Emissions,Energy system,Mt CO2/yr,"CO2 emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
388,Emissions|CO2|Energy|Supply,4,Emissions,Energy system,Mt CO2/yr,"CO2 emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
389,Emissions|CO2|Energy|Supply|Electricity,5,Emissions,Energy system,Mt CO2/yr,CO2 emissions from electricity and CHP production and distribution (IPCC category 1A1ai and 1A1aii),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
390,Emissions|CO2|Energy|Supply|Gases,5,Emissions,Energy system,Mt CO2/yr,"CO2 emissions from fuel combustion and fugitive emissions from fuels: gaseous fuel extraction and processing (e.g. natural gas extraction production, IPCC category 1B2b, parts of 1A1cii)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
391,Emissions|CO2|Energy|Supply|Heat,5,Emissions,Energy system,Mt CO2/yr,CO2 emissions from heat production and distribution (IPCC category 1A1aiii),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
392,Emissions|CO2|Energy|Supply|Liquids,5,Emissions,Energy system,Mt CO2/yr,"CO2 emissions from fuel combustion and fugitive emissions from fuels: liquid fuel extraction and processing (e.g. oil production, refineries, synfuel production, IPCC category 1A1b, parts of 1A1cii, 1B2a)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
394,Emissions|CO2|Energy|Supply|Solids,5,Emissions,Energy system,Mt CO2/yr,"CO2 emissions from fuel combustion and fugitive emissions from fuels: solid fuel extraction and processing (IPCC category 1A1ci, parts of 1A1cii, 1B1)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
395,Emissions|CO2|Industrial Processes,3,Emissions,Energy system,Mt CO2/yr,"CO2 emissions from industrial processes (IPCC categories 2A, B, C, E)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
408,Emissions|F-Gases,2,Emissions,Energy system,Mt CO2-equiv/yr,"total F-gas emissions, including sulfur hexafluoride (SF6), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs) (preferably use 100-year GWPs from AR4 for aggregation of different F-gases; in case other GWPs have been used, please document this on the 'comments' tab)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
409,Emissions|HFC,2,Emissions,Energy system,kt HFC134a-equiv/yr,"total emissions of hydrofluorocarbons (HFCs), provided as aggregate HFC134a-equivalents",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
410,Emissions|HFC|HFC125,3,Emissions,Energy system,kt HFC125/yr,total emissions of HFC125,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
411,Emissions|HFC|HFC134a,3,Emissions,Energy system,kt HFC134a/yr,total emissions of HFC134a,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
412,Emissions|HFC|HFC143a,3,Emissions,Energy system,kt HFC143a/yr,total emissions of HFC143a,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
413,Emissions|HFC|HFC227ea,3,Emissions,Energy system,kt HFC227ea/yr,total emissions of HFC227ea,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
414,Emissions|HFC|HFC23,3,Emissions,Energy system,kt HFC23/yr,total emissions of HFC23,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
415,Emissions|HFC|HFC245fa,3,Emissions,Energy system,kt HFC245fa/yr,total emissions of HFC245fa,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
416,Emissions|HFC|HFC32,3,Emissions,Energy system,kt HFC32/yr,total emissions of HFC32,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
417,Emissions|HFC|HFC43-10,3,Emissions,Energy system,kt HFC43-10/yr,total emissions of HFC343-10,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
419,Emissions|Kyoto Gases,2,Emissions,Energy system,Mt CO2-equiv/yr,"total Kyoto GHG emissions, including CO2, CH4, N2O and F-gases (preferably use 100-year GWPs from AR4 for aggregation of different gases; in case other GWPs have been used, please document this on the 'comments' tab)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
420,Emissions|N2O,2,Emissions,Energy system,kt N2O/yr,total N2O emissions,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
421,Emissions|N2O|AFOLU,3,Emissions,Energy system,kt N2O/yr,"N2O emissions from agriculture, forestry and other land use (IPCC category 3)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
422,Emissions|N2O|AFOLU|Agriculture,4,Emissions,Energy system,kt N2O/yr,N2O|AFOLU|Agric emissions from agriculture,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
423,Emissions|N2O|AFOLU|Agriculture|Livestock|Manure Management,6,Emissions,Energy system,kt N2O/yr,N2O  emissions from livestock manure management in the agriculture sector,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
424,Emissions|N2O|AFOLU|Agriculture|Managed Soils,5,Emissions,Energy system,kt N2O/yr,N2O  emissions from soil management practices in the agriculture sector,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
427,Emissions|N2O|Energy,3,Emissions,Energy system,kt N2O/yr,"N2O emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
433,Emissions|N2O|Other,3,Emissions,Energy system,kt N2O/yr,N2O emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
435,Emissions|NH3,2,Emissions,Energy system,Mt NH3/yr,total ammonia (NH3) emissions,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
436,Emissions|NH3|AFOLU,3,Emissions,Energy system,Mt NH3/yr,land use based ammonia Emissions,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
439,Emissions|NH3|Energy,3,Emissions,Energy system,Mt NH3/yr,"ammonia emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
440,Emissions|NH3|Energy|Demand|Industry,5,Emissions,Energy system,Mt NH3/yr,ammonia Emissions from Combustion in industry (IPCC 1A2) and industrial processes (IPCC 2C1-2C5),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
441,Emissions|NH3|Energy|Demand|Residential and Commercial,5,Emissions,Energy system,Mt NH3/yr,"ammonia Emissions from Combustion in Residential and Commercial/Institutional Sectors (IPCC 1A4A, 1A4B)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
442,Emissions|NH3|Energy|Demand|Transportation,5,Emissions,Energy system,Mt NH3/yr,ammonia Emissions from Combustion in Transportation Sector (IPCC category 1A3),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
443,Emissions|NH3|Energy|Supply,4,Emissions,Energy system,Mt NH3/yr,"ammonia Emissions from Extraction and Distribution of Fossil Fuels (including fugitive Emissions, IPCC category 1B); Electricity production and distribution, district heating and other energy conversion (e.g. refineries, synfuel production)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
447,Emissions|NOx,2,Emissions,Energy system,Mt NO2/yr,total NOx emissions,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
448,Emissions|NOx|AFOLU,3,Emissions,Energy system,Mt NO2/yr,"NOx emissions from agriculture, forestry and other land use (IPCC category 3)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
451,Emissions|NOx|Energy,3,Emissions,Energy system,Mt NO2/yr,"NOx emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
452,Emissions|NOx|Energy|Demand|Industry,5,Emissions,Energy system,Mt NO2/yr,NOx emissions from fuel combustion in industry (IPCC category 1A2),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
453,Emissions|NOx|Energy|Demand|Residential and Commercial,5,Emissions,Energy system,Mt NO2/yr,"NOx emissions from fuel combustion in residential, commercial, institutional sectors (IPCC category 1A4a, 1A4b)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
456,Emissions|NOx|Energy|Demand|Transportation,5,Emissions,Energy system,Mt NO2/yr,"NOx emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
457,Emissions|NOx|Energy|Supply,4,Emissions,Energy system,Mt NO2/yr,"NOx emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
461,Emissions|OC,2,Emissions,Energy system,Mt OC/yr,total organic carbon emissions,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
462,Emissions|OC|AFOLU,3,Emissions,Energy system,Mt OC/yr,"organic carbon emissions from agriculture, forestry and other land use (IPCC category 3)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
465,Emissions|OC|Energy,3,Emissions,Energy system,Mt OC/yr,"organic carbon emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
466,Emissions|OC|Energy|Demand|Industry,5,Emissions,Energy system,Mt OC/yr,organic carbon emissions from fuel combustion in industry (IPCC category 1A2),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
467,Emissions|OC|Energy|Demand|Residential and Commercial,5,Emissions,Energy system,Mt OC/yr,"organic carbon emissions from fuel combustion in residential, commercial, institutional sectors (IPCC category 1A4a, 1A4b)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
470,Emissions|OC|Energy|Demand|Transportation,5,Emissions,Energy system,Mt OC/yr,"organic carbon emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
473,Emissions|OC|Energy|Supply,4,Emissions,Energy system,Mt OC/yr,"organic carbon emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel prorganic carbonessing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
477,Emissions|PFC,2,Emissions,Energy system,kt CF4-equiv/yr,"total emissions of perfluorocarbons (PFCs), provided as aggregate CF4-equivalents",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
482,Emissions|SF6,2,Emissions,Energy system,kt SF6/yr,total emissions of sulfur hexafluoride (SF6),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
483,Emissions|Sulfur,2,Emissions,Energy system,Mt SO2/yr,total sulfur (SO2) emissions,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
484,Emissions|Sulfur|AFOLU,3,Emissions,Energy system,Mt SO2/yr,"sulfur emissions from agriculture, forestry and other land use (IPCC category 3)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
487,Emissions|Sulfur|Energy,3,Emissions,Energy system,Mt SO2/yr,"sulfur emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
488,Emissions|Sulfur|Energy|Demand|Industry,5,Emissions,Energy system,Mt SO2/yr,sulfur emissions from fuel combustion in industry (IPCC category 1A2),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
489,Emissions|Sulfur|Energy|Demand|Residential and Commercial,5,Emissions,Energy system,Mt SO2/yr,"sulfur emissions from fuel combustion in residential, commercial, institutional sectors (IPCC category 1A4a, 1A4b)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
492,Emissions|Sulfur|Energy|Demand|Transportation,5,Emissions,Energy system,Mt SO2/yr,"sulfur emissions from fuel combustion in transportation sector (IPCC category 1A3), excluding pipeline emissions (IPCC category 1A3ei)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
495,Emissions|Sulfur|Energy|Supply,4,Emissions,Energy system,Mt SO2/yr,"sulfur emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a), other energy conversion (e.g. refineries, synfuel production, solid fuel processing, IPCC category 1Ab, 1Ac), incl. pipeline transportation (IPCC category 1A3ei), fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
499,Emissions|VOC,2,Emissions,Energy system,Mt VOC/yr,total volatile organic compound (VOC) emissions,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
500,Emissions|VOC|AFOLU,3,Emissions,Energy system,Mt VOC/yr,land use based volatile organic compounds Emissions,output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
503,Emissions|VOC|Energy,3,Emissions,Energy system,Mt VOC/yr,"volatile organic compounds emissions from energy use on supply and demand side, including fugitive emissions from fuels (IPCC category 1A, 1B)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
504,Emissions|VOC|Energy|Demand|Industry,5,Emissions,Energy system,Mt VOC/yr,volatile organic compounds Emissions from Combustion in industry (IPCC 1A2) and industrial processes (IPCC 2C1-2C5),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
505,Emissions|VOC|Energy|Demand|Residential and Commercial,5,Emissions,Energy system,Mt VOC/yr,"volatile organic compounds Emissions from Combustion in Residential and Commercial/Institutional Sectors (IPCC 1A4A, 1A4B)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
508,Emissions|VOC|Energy|Demand|Transportation,5,Emissions,Energy system,Mt VOC/yr,volatile organic compounds Emissions from Combustion in Transportation Sector (IPCC category 1A3),output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
511,Emissions|VOC|Energy|Supply,4,Emissions,Energy system,Mt VOC/yr,"volatile organic compounds Emissions from Extraction and Distribution of Fossil Fuels (including fugitive Emissions, IPCC category 1B); Electricity production and distribution, district heating and other energy conversion (e.g. refineries, synfuel production)",output,"Emission
- https://jgcri.github.io/gcam-doc/index.html"
597,Final Energy,1,Energy,Energy system,EJ/yr,"total final energy consumption by all end-use sectors and all fuels, excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
615,Final Energy|Electricity,2,Energy,Energy system,PJ/yr,"final energy consumption of electricity (including on-site solar PV), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
617,Final Energy|Gases,2,Energy,Energy system,PJ/yr,"final energy consumption of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
618,Final Energy|Geothermal,2,Energy,Energy system,EJ/yr,"final energy consumption of geothermal energy (e.g., from decentralized or small-scale geothermal heating systems) EXCLUDING geothermal heat pumps",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
619,Final Energy|Heat,2,Energy,Energy system,EJ/yr,"final energy consumption of heat (e.g., district heat, process heat, warm water), excluding transmission/distribution losses, excluding direct geothermal and solar heating",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
620,Final Energy|Hydrogen,2,Energy,Energy system,EJ/yr,"final energy consumption of hydrogen, excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
621,Final Energy|Industry,2,Energy,Energy system,EJ/yr,"final energy consumed by the industrial sector, including feedstocks, including agriculture and fishing",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
674,Final Energy|Industry|Electricity,3,Energy,Energy system,EJ/yr,"final energy consumption by the industrial sector of electricity (including on-site solar PV), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
676,Final Energy|Industry|Gases,3,Energy,Energy system,EJ/yr,"final energy consumption by the industrial sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
681,Final Energy|Industry|Heat,3,Energy,Energy system,EJ/yr,"final energy consumption by the industrial sector of heat (e.g., district heat, process heat, solar heating and warm water), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
682,Final Energy|Industry|Hydrogen,3,Energy,Energy system,EJ/yr,final energy consumption by the industrial sector of hydrogen,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
683,Final Energy|Industry|Liquids,3,Energy,Energy system,EJ/yr,"final energy consumption by the industrial sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
689,Final Energy|Industry|Other,3,Energy,Energy system,EJ/yr,final energy consumption by the industrial sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
710,Final Energy|Industry|Solids,3,Energy,Energy system,EJ/yr,final energy solid fuel consumption by the industrial sector (including coal and solid biomass),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
711,Final Energy|Industry|Solids|Biomass,4,Energy,Energy system,EJ/yr,final energy consumption by the industry sector of solid biomass,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
712,Final Energy|Industry|Solids|Coal,4,Energy,Energy system,EJ/yr,final energy consumption by the industry sector of coal,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
728,Final Energy|Liquids,2,Energy,Energy system,EJ/yr,"final energy consumption of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
729,Final Energy|Non-Energy Use,2,Energy,Energy system,EJ/yr,final energy consumption by the non-combustion processes,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
730,Final Energy|Non-Energy Use|Biomass,3,Energy,Energy system,EJ/yr,final energy consumption of biomass by the non-combustion processes,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
731,Final Energy|Non-Energy Use|Coal,3,Energy,Energy system,EJ/yr,final energy consumption of coal by the non-combustion processes,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
732,Final Energy|Non-Energy Use|Gas,3,Energy,Energy system,EJ/yr,final energy consumption of gas by the non-combustion processes,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
733,Final Energy|Non-Energy Use|Oil,3,Energy,Energy system,EJ/yr,final energy consumption of oil by the non-combustion processes,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
735,Final Energy|Other Sector,2,Energy,Energy system,EJ/yr,total final energy consumption by other sectors,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
736,Final Energy|Other Sector|Electricity,3,Energy,Energy system,EJ/yr,"final energy consumption by other sectors of electricity (including on-site solar PV), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
737,Final Energy|Other Sector|Gases,3,Energy,Energy system,EJ/yr,"final energy consumption by other sectors of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
739,Final Energy|Other Sector|Hydrogen,3,Energy,Energy system,EJ/yr,final energy consumption by other sectors of hydrogen,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
740,Final Energy|Other Sector|Liquids,3,Energy,Energy system,EJ/yr,"final energy consumption by other sectors of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
742,Final Energy|Other Sector|Solids,3,Energy,Energy system,EJ/yr,final energy solid fuel consumption by other sectors (including coal and solid biomass),output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
747,Final Energy|Residential and Commercial,2,Energy,Energy system,EJ/yr,final energy consumed in the residential & commercial sector,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
749,Final Energy|Residential and Commercial|Commercial,3,Energy,Energy system,EJ/yr,final energy consumed in the commercial sector,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
753,Final Energy|Residential and Commercial|Commercial|Gases,4,Energy,Energy system,EJ/yr,"final energy consumption by the commercial sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
763,Final Energy|Residential and Commercial|Commercial|Liquids,4,Energy,Energy system,EJ/yr,"final energy consumption by the commercial sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
772,Final Energy|Residential and Commercial|Electricity,3,Energy,Energy system,EJ/yr,"final energy consumption by the residential & commercial sector of electricity (including on-site solar PV), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
773,Final Energy|Residential and Commercial|Gases,3,Energy,Energy system,EJ/yr,"final energy consumption by the residential & commercial sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
774,Final Energy|Residential and Commercial|Heat,3,Energy,Energy system,EJ/yr,"final energy consumption by the residential & commercial sector of heat (e.g., district heat, process heat, solar heating and warm water), excluding transmission/distribution losses",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
779,Final Energy|Residential and Commercial|Hydrogen,3,Energy,Energy system,EJ/yr,final energy consumption by the residential & commercial sector of hydrogen,output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
781,Final Energy|Residential and Commercial|Liquids,3,Energy,Energy system,EJ/yr,"final energy consumption by the residential & commercial sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",output,"Energy consumption
- https://jgcri.github.io/gcam-doc/index.html"
