No.,Variable(All),Level,Category_template,Model type,Unit,Definition,Type,Basis for Classification
919,Investment|Energy Supply|Electricity|Oil|w/o CCS,5,Investment,Energy system,billion US$2010/yr,석유를 이용한 전기공급에 대한 투자(ccs 기술을 적용하지 않은),output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
922,Investment|Energy Supply|Electricity|Solar,4,Investment,Energy system,billion US$2010/yr,"investments in new power generation for the specified power plant category. If the model features several sub-categories, the total investments should be reported. For plants equipped with CCS, the investment in the capturing equipment should be included but not the one on transport and storage.",output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
923,Investment|Energy Supply|Electricity|Transmission and Distribution,4,Investment,Energy system,billion US$2010/yr,investments in transmission and distribution of power generation,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
924,Investment|Energy Supply|Electricity|Wind,4,Investment,Energy system,billion US$2010/yr,"investments in new power generation for the specified power plant category. If the model features several sub-categories, the total investments should be reported. For plants equipped with CCS, the investment in the capturing equipment should be included but not the one on transport and storage.",output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
926,Investment|Energy Supply|Extraction|Coal,4,Investment,Energy system,billion US$2010/yr,"investments for extraction and conversion of coal. These should include mining, shipping and ports",output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
927,Investment|Energy Supply|Extraction|Fossil,4,Investment,Energy system,billion US$2010/yr,investments for all types of fossil extraction,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
928,Investment|Energy Supply|Extraction|Gas,4,Investment,Energy system,billion US$2010/yr,"investments for extraction and conversion of natural gas. These should include upstream, LNG chain and transmission and distribution",output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
929,Investment|Energy Supply|Extraction|Oil,4,Investment,Energy system,billion US$2010/yr,"investments for extraction and conversion of oil. These should include upstream, transport and refining",output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
931,Investment|Energy Supply|Heat,3,Investment,Energy system,billion US$2010/yr,investments in heat generation facilities,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
932,Investment|Energy Supply|Hydrogen,3,Investment,Energy system,billion US$2010/yr,investments for the production of hydrogen,output,"- https://pure.iiasa.ac.at/id/eprint/19589/1/Downscaling%20down%20under%20towards%20degrowth%20in%20integrated%20assessment%20models.pdf
- https://www.econstor.eu/bitstream/10419/276241/1/SSRN-id4301223.pdf"
